DigiKey,https://www.digikey.ca/,digikey.jpg
SendCutSend,https://sendcutsend.com/,sendcutsend.svg
Pololu,https://www.pololu.com/,pololu.png
FingerTech Robotics,https://www.fingertechrobotics.com/,fingertech.png
Altium,https://www.altium.com/,altium.png
Just 'Cuz Robotics,https://justcuzrobotics.com/,justcuzrobotics.webp
Mouser Electronics Canada,https://www.mouser.ca/,mouser.webp
UNIVERSAL-SOLDER Electronics,https://www.universal-solder.ca/,universal-solder.webp
PCBWay,https://www.pcbway.com/,pcbway.png
Prusa,https://www.prusa3d.com/,prusa.svg
Skule Endowment Fund,https://skule.ca/finances/SEF.html/,skule.png
